支架ID,X坐标,Y坐标,Z坐标,安装日期,备注
支架1,1000.0,2000.0496714153012,-499.8379580153026,2023-01-01,正常
支架2,1001.530612244898,1999.9861735698828,-500.19254114020816,2023-01-02,正常
支架3,1003.0612244897959,2000.0647688538102,-500.33846100015296,2023-01-03,正常
支架4,1004.5918367346939,2000.1523029856407,-499.6941618555796,2023-01-04,正常
支架5,1006.1224489795918,1999.9765846625276,-499.48450023875205,2023-01-05,正常
支架6,1007.6530612244898,1999.976586304305,-499.5343599404419,2023-01-06,正常
支架7,1009.1836734693877,2000.1579212815507,-500.4196087616113,2023-01-07,正常
支架8,1010.7142857142857,2000.0767434729153,-500.1546061879256,2023-01-08,正常
支架9,1012.2448979591836,1999.9530525614066,-499.8343682842982,2023-01-09,正常
支架10,1013.7755102040817,2000.0542560043586,-499.5122274364388,2023-01-10,正常
支架11,1015.3061224489796,1999.9536582307187,-500.23958711892266,2023-01-11,正常
支架12,1016.8367346938776,1999.953427024643,-500.0928294883319,2023-01-12,正常
支架13,1018.3673469387755,2000.0241962271566,-500.553167487003,2023-01-13,正常
支架14,1019.8979591836735,1999.8086719755343,-500.59810331204034,2023-01-14,正常
支架15,1021.4285714285714,1999.8275082167486,-499.5937370888029,2023-01-15,正常
支架16,1022.9591836734694,1999.9437712470758,-499.3218799857146,2023-01-16,正常
支架17,1024.4897959183672,1999.8987168879667,-500.03600506079016,2023-01-17,正常
支架18,1026.0204081632653,2000.0314247332594,-499.498233551054,2023-01-18,正常
支架19,1027.5510204081634,1999.909197592448,-499.81918198747616,2023-01-19,正常
支架20,1029.0816326530612,1999.8587696298664,-500.3225598773026,2023-01-20,正常
支架21,1030.6122448979593,2000.1465648768922,-499.8193021972458,2023-01-21,正常
支架22,1032.142857142857,1999.9774223699515,-499.230981716767,2023-01-22,正常
支架23,1033.6734693877552,2000.0067528204688,-500.01791301955495,2023-01-23,正常
支架24,1035.204081632653,1999.8575251813786,-499.217678172093,2023-01-24,正常
支架25,1036.734693877551,1999.9455617275476,-501.30987255204485,2023-01-25,正常
支架26,1038.265306122449,2000.011092258971,-499.5890487478124,2023-01-26,正常
支架27,1039.795918367347,1999.8849006422577,-499.95647646588094,2023-01-27,正常
支架28,1041.3265306122448,2000.0375698018345,-500.14950367523295,2023-01-28,正常
支架29,1042.857142857143,1999.9399361310082,-499.95411961173227,2023-01-29,正常
支架30,1044.3877551020407,1999.9708306250207,-500.9937844573004,2023-01-30,正常
支架31,1045.9183673469388,1999.9398293387771,-500.10983594391877,2023-01-31,正常
支架32,1047.4489795918366,2000.1852278184508,-499.82144371424414,2023-02-01,正常
支架33,1048.9795918367347,1999.9986502775262,-499.2610529776292,2023-02-02,正常
支架34,1050.5102040816328,1999.8942289071044,-500.2591351091368,2023-02-03,正常
支架35,1052.0408163265306,2000.0822544912103,-500.4042468014466,2023-02-04,正常
支架36,1053.5714285714287,1999.8779156350029,-500.2508785217923,2023-02-05,正常
支架37,1055.1020408163265,2000.0208863595005,-499.54229894114894,2023-02-06,正常
支架38,1056.6326530612246,1999.8040329876121,-499.83562444517014,2023-02-07,正常
支架39,1058.1632653061224,1999.8671813951103,-500.26488010188353,2023-02-08,正常
支架40,1059.6938775510205,2000.019686123587,-499.7433662834433,2023-02-09,正常
支架41,1061.2244897959183,2000.0738466579996,-499.951461225326,2023-02-10,正常
支架42,1062.7551020408164,2000.017136828119,-499.51567750473356,2023-02-11,正常
支架43,1064.2857142857142,1999.9884351717612,-500.35102654693867,2023-02-12,正常
支架44,1065.8163265306123,1999.969889630441,-500.16383107329887,2023-02-13,正常
支架45,1067.3469387755101,1999.8521478009632,-500.1960540765661,2023-02-14,正常
支架46,1068.8775510204082,1999.9280155791605,-500.73175747406606,2023-02-15,正常
支架47,1070.408163265306,1999.953936122904,-499.8519398614677,2023-02-16,正常
支架48,1071.938775510204,2000.1057122226218,-499.86947236391006,2023-02-17,正常
支架49,1073.469387755102,2000.034361828957,-499.9974432716788,2023-02-18,正常
支架50,1075.0,1999.8236959844637,-500.1172935666876,2023-02-19,正常
